Adelphi	Unknown	2	6	3.25
Albany	Unknown	12	48	3.70833333333
Amherst	Unknown	199	2432	3.66834170854
Ann Arbor	Downtown Ann Arbor	273	7137	3.66117216117
Ann Arbor	Unknown	96	1650	3.63020833333
Ann Arbor	Kerrytown Ann Arbor	76	1723	3.94736842105
Ann Arbor	South University Ann Arbor	56	1127	3.23214285714
Ann Arbor Charter Township	Downtown Ann Arbor	1	3	5.0
Annapolis	Unknown	1	11	4.5
Arlington	Harvard Square	2	24	3.25
Astoria	Manhattan Valley	1	80	3.5
Atlanta	Midtown	266	9039	3.5
Atlanta	Westside / Home Park	111	3926	3.66666666667
Atlanta	Unknown	68	1568	3.71323529412
Atlanta	Georgia Tech	48	1571	3.72916666667
Atlanta	Downtown	33	800	3.5
Atlanta	Centennial Place	6	33	4.08333333333
Atlanta	Atlantic Station	3	8	3.16666666667
Austin	University of Texas	415	12253	3.66385542169
Austin	West Campus	242	6992	3.5847107438
Austin	The Drag	107	3436	3.58411214953
Austin	Downtown	79	2389	3.9746835443
Belchertown	Unknown	1	2	3.0
Beltsville	Unknown	1	2	4.5
Berkeley	UC Campus Area	500	33348	3.629
Berkeley	Telegraph Ave	288	22616	3.51388888889
Berkeley	Downtown Berkeley	47	3715	3.79787234043
Berwyn Heights	Unknown	8	45	3.3125
Blacksburg	Unknown	154	1353	3.61363636364
Boston	Back Bay	33	1294	3.54545454545
Boston	Unknown	10	684	3.5
Boston	Harvard Square	1	14	4.5
Cambridge	Harvard Square	495	26692	3.57373737374
Cambridge	Kendall Square/MIT	206	10244	3.50242718447
Cambridge	Central Square	194	9428	3.6881443299
Cambridge	East Cambridge	60	1498	3.6
Cambridge	Unknown	44	2584	3.72727272727
Cambridge	Inman Square	11	694	3.77272727273
Carrboro	Unknown	139	2112	4.06474820144
Carrboro Saxapahaw Chapel Hill Durham	Unknown	1	22	4.0
Champaign	Unknown	351	5296	3.48148148148
Chapel Hill	Unknown	360	6013	3.75555555556
Christiansbrg	Unknown	1	3	3.0
Christiansburg	Unknown	33	145	3.34848484848
Claremont	Unknown	348	9277	3.94971264368
Cohoes	Unknown	22	149	3.79545454545
College Park	Unknown	242	3238	3.38429752066
Danvers	Kendall Square/MIT	1	8	1.5
Danvers	East Cambridge	1	8	1.5
East Palo Alto	Unknown	1	2	5.0
Freeville	Unknown	1	3	5.0
Greenbelt	Unknown	38	345	3.17105263158
Greenbelt 	Unknown	1	38	2.0
Hadley	Unknown	83	612	3.66265060241
Hampshire	Unknown	2	13	3.25
Harlem	Harlem	3	55	4.0
Hatfield	Unknown	3	9	4.16666666667
Houston	West University	392	7559	3.6875
Houston	Medical Center	71	409	3.52816901408
Houston	Museum District	64	1764	4.015625
Houston	Braeswood Place	41	424	3.40243902439
Houston	Upper Kirby	2	26	3.5
Hyattsville	Unknown	149	1500	3.27852348993
Ithaca	Unknown	430	4654	3.58255813953
Kingston	Unknown	14	285	3.82142857143
Kitchener	Unknown	81	290	3.75308641975
La Jolla	Unknown	296	8151	3.66554054054
La Jolla	La Jolla	60	2262	3.35
La Jolla	La Jolla Shores	12	588	3.83333333333
La Jolla	University City	6	642	3.25
La Jolla	Sorrento Valley	4	10	4.625
Lafayette	Unknown	231	1519	3.75541125541
Langley Park	Unknown	2	122	4.25
Lansing	Unknown	1	2	5.0
Lansingburgh	Unknown	1	8	4.0
Latham	Unknown	125	886	3.34
Lawrence	Unknown	2	23	3.0
Lawrence Township	Unknown	7	46	3.35714285714
Lawrenceville	Unknown	18	215	3.02777777778
Liberty Hill	University of Texas	1	6	3.0
Los Angeles	Westwood	462	21202	3.5854978355
Los Angeles	South Los Angeles	454	10954	3.51982378855
Los Angeles	South East LA	48	1113	3.84375
Los Angeles	Unknown	24	163	3.72916666667
Los Angeles	Pico Union	3	31	4.33333333333
Los Angeles	Bel Air	2	28	4.5
Los Angeles	Jefferson Park	2	4	4.75
Loudonville	Unknown	2	12	3.75
Manhattan	Harlem	29	442	3.6724137931
Manhattan	Manhattan Valley	23	234	3.45652173913
Manhattan	Morningside Heights	18	133	3.66666666667
Menands	Unknown	6	27	3.91666666667
Menlo Park	Unknown	9	123	4.16666666667
Mid-Cambridge	Kendall Square/MIT	3	91	3.66666666667
Mid-Cambridge	Harvard Square	2	15	3.25
Mid-Cambridge	East Cambridge	1	57	4.0
Mid-Cambridge	Central Square	1	11	2.5
Mid-Cambridge	Inman Square	1	2	3.0
Monmouth Junction	Unknown	10	75	2.85
Monrovia	Pasadena	1	2	5.0
Montclair	Unknown	53	764	3.47169811321
Montgomery	Unknown	1	2	4.5
Mountain View	Unknown	1	6	5.0
New York	Morningside Heights	157	6683	3.34076433121
New York	Harlem	142	3494	3.2323943662
New York	Manhattan Valley	125	4272	3.408
New York City	Manhattan Valley	1	90	3.5
New York City	Harlem	1	4	4.5
Newport	DownCity	1	5	2.5
North Amherst	Unknown	1	15	4.0
North Greenbush	Unknown	1	36	3.5
Northampton	Unknown	1	2	4.0
Oakland	Oakland	2	29	3.25
Palo Alto	Unknown	379	15445	3.76781002639
Pasadena	Pasadena	495	19374	3.68484848485
Pasadena	Unknown	4	26	2.5
Philadelphia	University City	392	10744	3.39030612245
Philadelphia	Powelton Village	106	1811	3.47641509434
Philadelphia	Spruce Hill	52	1158	3.34615384615
Philadelphia	Rittenhouse Square	31	630	3.75806451613
Philadelphia	Mantua	29	202	4.10344827586
Philadelphia	Penn Center	18	378	3.69444444444
Philadelphia	Fitler Square	12	252	3.75
Philadelphia	Unknown	6	204	3.75
Philadelphia	Logan Square	4	85	2.875
Philadelphia	Saunders Park	2	7	5.0
Philadelphia	Graduate Hospital	1	11	4.0
Philly	Mantua	1	2	4.0
Pittsburgh	Oakland	195	3067	3.59230769231
Pittsburgh	Shadyside	117	1985	3.66239316239
Pittsburgh	Squirrel Hill	106	1682	3.66037735849
Pittsburgh	Bloomfield	54	536	3.64814814815
Pittsburgh	Greenfield	19	176	3.65789473684
Pittsburgh	East Liberty	4	39	3.75
Pittsburgh	Friendship	3	69	2.5
Plainsboro	Unknown	30	378	3.18333333333
Plainsboro Center	Unknown	1	3	4.0
Plainsboro Township	Unknown	3	18	3.5
Princeton	Unknown	362	6377	3.36602209945
Princeton Jct	Unknown	1	5	3.5
Princeton Junction	Unknown	12	122	3.95833333333
Princeton Township	Unknown	3	25	3.33333333333
Providence	DownCity	196	3396	3.63775510204
Providence	College Hill	143	3544	3.62237762238
Providence	Fox Point	91	2364	3.77472527473
Providence	Unknown	35	481	3.77142857143
Providence	Downtown	32	1131	3.28125
Providence	East Side	2	165	3.25
Rensselaer	Unknown	6	26	3.5
Riverdale	Unknown	23	186	3.67391304348
Riverdale Park	Unknown	2	11	3.75
Rocky Hill	Unknown	3	75	4.16666666667
San Diego	University City	55	1542	3.70909090909
San Diego	Unknown	53	652	3.62264150943
San Diego	La Jolla	12	327	3.125
San Diego	La Jolla Shores	3	21	4.66666666667
San Diego	Sorrento Valley	3	14	4.33333333333
San Luis Obispo	Unknown	500	11260	3.794
Seattle	University District	500	17998	3.642
Shadyside	Shadyside	2	28	3.5
Silver Spring	Unknown	6	53	3.75
Skillman	Unknown	21	178	3.59523809524
Solana Beach	Unknown	1	6	5.0
Somerset	Unknown	1	7	3.5
Somerville	Kendall Square/MIT	2	10	4.0
Somerville	East Cambridge	1	6	3.0
South Brunswick	Unknown	1	3	4.0
Southern California	South Los Angeles	2	8	5.0
St Jacobs	Unknown	1	4	3.5
St. Jacobs	Unknown	1	4	3.5
Stanford	Unknown	110	1960	3.69545454545
Sunderland	Unknown	8	94	3.4375
Takoma Park	Unknown	22	245	3.47727272727
Trenton	Unknown	5	34	3.1
Troy	Unknown	221	2007	3.60633484163
University Park	Unknown	1	2	5.0
Upland	Unknown	98	1095	3.88775510204
Urbana	Unknown	149	1892	3.57382550336
Victoria Park	Unknown	1	3	4.5
W Lafayette	Unknown	3	28	3.33333333333
Waterford	Unknown	9	32	4.05555555556
Waterloo	Unknown	143	710	3.65734265734
Watervliet	Unknown	33	201	3.45454545455
West Hyattsville	Unknown	2	9	2.0
West Lafayette	Unknown	159	1494	3.66037735849
West Los Angeles	Westwood	1	57	4.5
West University Place	West University	1	4	4.5
West Windsor	Unknown	3	14	2.33333333333
West Windsor Township	Unknown	2	19	2.75
Westwood	Westwood	27	1617	3.44444444444
Westwood Village	Westwood	4	178	3.5
Woolwich	Unknown	1	3	3.5
Wynantskill	Unknown	12	97	3.45833333333
blacksburg	Unknown	1	2	2.0
